Word,Meaning,Example,Checked,Column5,Column6
culpable,deserving blame; blameworthy,,0.0,,
cursory,"casual; hastily done with little attention to detail, hasty and without attention to detail; not thorough",,0.0,,
daunt,"intimidate; frighten; discourage; dishearten, cause to lose courage",,0.0,,
dearth,"scarcity, an insufficient quantity or number; an acute insufficiency",,0.0,,
debacle,a sudden and violent collapse; flooding caused by a tumultuous breakup of ice in a river during the spring or summer,,0.0,,
debauchery,a wild gathering involving excessive drinking and promiscuity,,0.0,,
decorous,"proper (in behavior, conduct, or appearance)",,0.0,,
decorum,propriety; orderliness and good taste in manners; appropriateness of behavior or conduct,,0.0,,
deleterious,harmful,,0.0,,
demur,"object (because of doubts, scruples); raise an objection (showing qualms); hesitate; (law) a formal objection to an opponent's pleadings, take exception to",Demur at the idea of working on Sunday.,0.0,,
deprecate,express disapproval of; deplore; protest against; belittle; obsolete software,,0.0,,
derision,ridicule; the act of deriding or treating with contempt; contemptuous laughter,,0.0,,
descry,catch sight of (something distant),,0.0,,
desiccate,"dry up, lacking vitality or spirit; lifeless, lose water or moisture",,0.0,,
desuetude,a state of inactivity or disuse,,0.0,,
desultory,"aimless; haphazard; digressing at random, marked by lack of definite plan or regularity or purpose; jumping from one thing to another, sporadic",,0.0,,
diaphanous,"sheer; transparent, so thin as to transmit light, translucent",,0.0,,
diatribe,"bitter scolding or denunciation; invective; abuse, thunderous verbal attack",,0.0,,
didactic,(of speech or writing) intended to teach a moral lesson; teaching; instructional; instructive (especially excessively),,0.0,,
diffident,lacking self-confidence; showing modest reserve,,0.0,,
dilapidated,falling to pieces; in a bad condition; ruined because of neglect,dilapidated old car/castle,0.0,,
dilettante,aimless follower of an art or a field of knowledge (not taking it seriously); amateur; dabbler;,,0.0,,
disabuse,correct a false impression; undeceive; free from a wrong belief,,0.0,,
discomfit,"frustrate; put to rout; defeat; disconcert; embarrass; perturb, cause to lose one's composure",,0.0,,
discordant,not harmonious; conflicting,,0.0,,
discourse,"serious speech, writing, or conversation; formal discussion (either written or spoken); conversation; extended verbal expression in speech or writing; an extended communication (often interactive) dealing with some particular topic",,0.0,,
discretion,prudence; ability to adjust actions to circumstances; freedom of action or judgment; the trait of judging wisely and objectively; knowing how to avoid embarrassment or distress,,0.0,,
disinterested,unprejudiced; free from bias and self-interest; objective,,0.0,,
disparage,"belittle, express a negative opinion of",,0.0,,
disparate,"basically different; impossible to compare; unrelated, including markedly dissimilar elements; fundamentally different or distinct in quality or kind",,0.0,,
dissemble,"disguise; hide the real nature of; pretend, behave unnaturally or affectedly; hide under a false appearance",,0.0,,
diurnal,daily; occurring during the daytime,,0.0,,
divulge,"reveal, make known to the public information that was previously known only to a few people or that was meant to be kept a secret",,0.0,,
doggerel,"poor verse, a comic verse of irregular measure",,0.0,,
dogmatic,"opinionated; holding stubbornly to one's opinion; arbitrary; doctrinal, characterized by assertion of unproved or unprovable principles; relating to or involving dogma",,0.0,,
ebullience,overflowing with eager enjoyment or approval,,0.0,,
eccentric,irregular; odd; unconventional; whimsical; bizarre; not concentric,,0.0,,
eclectic,selective; composed of elements drawn from disparate sources; selecting individual elements from a variety of sources;,,0.0,,
effrontery,"rudeness without any sense of shame; shameless boldness; presumptousness; nerve; cheek, audacious (even arrogant) behavior that you have no right to",,0.0,,
egregious,"notorious; conspicuously bad or shocking, conspicuously and outrageously bad or reprehensible",,0.0,,
egress,exit; opening for going out; act of going out; the act of coming (or going) out; becoming apparent; (astronomy) the reappearance of a celestial body after an eclipse,,0.0,,
elegy,poem or song expressing lamentation (for the dead); a mournful poem; a lament for the dead,,0.0,,
eloquent,"expressing yourself readily, clearly, effectively",,0.0,,
elucidate,explain; make clear; clarify; enlighten; make free from confusion or ambiguity; make clear; make clear and (more) comprehensible,,0.0,,
emollient,soothing or softening remedy (for the skin),,0.0,,
empirical,"based on experience, derived from experiment and observation rather than theory; relying on medical quackery",,0.0,,
encomium,a formal expression of praise,,0.0,,
enervate,weaken; take away energy from,,0.0,,
ennui,boredom; listlessness and dissatisfaction resulting from lack of interest; the feeling of being bored by something tedious,,0.0,,
ephemeral,"short-lived; fleeting, as an insect that lives only for a day in its winged form",,0.0,,
epicure,connoisseur of food and drink; gourmet; a person devoted to refined sensuous enjoyment (especially good food and drink),,0.0,,
epitome,perfect example or embodiment; brief summary,Epitome of good manners.,0.0,,
equanimity,"calmness of temperament; composure, steadiness of mind under stress",,0.0,,
equivocate,use equivocal language to deceive people; lie; mislead; attempt to conceal the truth,,0.0,,
eschew,avoid habitually,Eschew alcoholic drinks.,0.0,,
esoteric,"hard to understand; known only to the chosen few, esp. initiates.",,0.0,,
espouse,"marry someone take up the cause, ideology, practice, method, of someone and use it as one's own choose and follow, support; as of theories, ideas, aims, policies, strategies or plans",,0.0,,
estimable,deserving of respect or high regard; deserving of esteem and respect,,0.0,,
eulogy,"expression of praise, often on the occasion of someone's death",,0.0,,
evince,"show clearly, give expression to",,0.0,,
exacerbate,"worsen; aggravate; embitter, deteriorate",,0.0,,
excoriate,scold with biting harshness; censure strongly; strip the skin off,,0.0,,
exculpate,"clear from blame or guilt, exonerate, acquit",,0.0,,
execrate,"curse; express abhorrence for; detest, curse or declare to be evil or anathema or threaten with divine punishment; find repugnant",,0.0,,
exegesis,"explanation, especially of biblical (of the bible) passages, an explanation or critical interpretation (especially of the Bible)",,0.0,,
exhort,urge (by strong argument or advice); force or impel in an indicated direction; urge on or encourage especially by shouts,The general exhorted his men to fight bravely,0.0,,
exigent,requiring precise accuracy; demanding attention,,0.0,,
exonerate,acquit; exculpate; free from blame or guilt,,0.0,,
expiate,make amends for (a sin),,0.0,,
exposition,"(music) the section of a movement (especially in sonata form) where the major musical themes first occur; an account that sets forth the meaning or intent of a writing or discourse the act of expounding, setting forth, or explaining, the act of presenting to view; display",The exposition of a point of view.,0.0,,
extemporaneous,"not planned; impromptu; extempore, with little or no preparation or forethought",,0.0,,
extol,praise very highly; glorify,,0.0,,
facetious,"joking (often inappropriately); unserious; humorous, cleverly amusing in tone",,0.0,,
facile,ignoring the true complexities of an issue; superficial (of a person) having a superficial or simplistic knowledge or approach (especially of success in sport) easily achieved; effortless,A man of facile and shallow intellect. A facile seven-lengths victory.,0.0,,
fallacy,a misconception resulting from incorrect reasoning,,0.0,,
fatuous,smugly and unconsciously foolish; inane; silly; devoid of intelligence,,0.0,,
fawn,courting favor by cringing and flattering; exhibit affection as a dog; young deer; a color or pigment varying around a light grey-brown color.,,0.0,,
fecund,fertility; fruitfulness,,0.0,,
fell,"cruel; (of a disease) deadly, (of persons or their actions) able or disposed to inflict pain or suffering, the act of felling something (as a tree)",Sorcerers use spells to achieve their fell ends.,0.0,,
fervent,"fervid, ardent; zealous; extremely hot; characterized by intense emotion",A fervent desire to change society.,0.0,,
fetter,shackle; restrict the freedom of; chain or shackle for the foot of a prisoner;,Restrain with fetters.,0.0,,
flag,droop; grow feeble; decline in vigor or strength; a conspicuously marked or shaped tail; emblem usually consisting of a rectangular piece of cloth of distinctive design,,0.0,,
flippant,lacking proper seriousness,Flippant remarks about death.,0.0,,
flout,reject; mock; show contempt for; scorn,Flout the rules.,0.0,,
foment,"stir up; incite; instigate; promote the growth of (something evil or unpleasant), bathe with warm water or medicated lotions; try to stir up public opinion",,0.0,,
forbear,patience; forgiveness; refrain from (in a generous and forgiving way); be patient,Forbear to send him to prison.,0.0,,
fortuitous,accidental; by chance,,0.0,,
founder,fail completely; sink; a person who founds or establishes some institution; a worker who makes metal castings,,0.0,,
fractious,unruly; peevish; cranky; bad-tempered,Fractious horse,0.0,,
fulminate,"thunder; explode; issue a severe denunciation, a salt or ester of fulminic acid, cause to explode violently and with loud noise",,0.0,,
fulsome,disgustingly excessive; offensively flattering; encompassing all aspects; comprehensive,fulsome praise/expressions of admire a fulsome survey of the political situation in Central America.,0.0,,
furtive,stealthy; quiet and secret (trying to escape notice); sneaky; taking pains to avoid being observed *ly: quiet and secretly,furtive glance,0.0,,
gainsay,"deny, take exception to",,0.0,,
gambit,opening in chess in which a piece is sacrificed; action made to produce a future advantage,,0.0,,
garrulous,loquacious; wordy; talkative; glib,,0.0,,
genial,cheerfulness; kindliness; sympathy; of or relating to the chin or median part of the lower jaw; diffusing warmth and friendliness,,0.0,,
germane,"pertinent; bearing upon(having connection with) the case at hand; appropriate, having close kinship and appropriateness",,0.0,,
glib,"fluent (with insincerity or superficiality); facile; slick, artfully persuasive in speech",,0.0,,
gratuitous,given freely; unwarranted; uncalled for; done without good reason,Gratuitous comment.,0.0,,
hackneyed,commonplace; trite,,0.0,,
halcyon,calm; peaceful,Halcyon days.,0.0,,
harangue,"long, passionate, and vehement speech; address forcefully",Deliver a harangue to the herd.,0.0,,
harbinger,forerunner (which foreshadows what is to come),,0.0,,
hegemony,dominance especially of one nation over others,,0.0,,
hirsute,hairy; having a lot of hair,,0.0,,
hoary,"white with age, ancient",,0.0,,
hubris,"arrogance; excessive self-conceit, overbearing pride or presumption",,0.0,,
husband,use sparingly; conserve; save; house holder,husband one's energy,0.0,,
hyperbole,exaggeration; overstatement;,,0.0,,
iconoclast,attacking cherished traditions; one who attacks traditional ideas; one who destroys sacred images,Iconoclastic.,0.0,,
idolatrous,blindly or excessively devoted or adoring; relating to or practicing idolatry,,0.0,,
ignominy,deep disgrace; shame or dishonor,Ignominous defeat.,0.0,,
imbroglio,complicated situation (as in a play); painful or complex misunderstanding (as in a play); entanglement; confused mass (as of papers),Embroil.,0.0,,
imminent,"impending; near at hand, projecting or leaning forward; overhanging, close in time; about to occur",,0.0,,
impassive,without feeling; expressionless; imperturbable; stoical,Impassive face.,0.0,,
impecunious,without money,,0.0,,
imperturbable,unshakably calm; placid,,0.0,,
impetuous,violent; hasty; rash; impulsive; without careful thought,Impetuous decision.,0.0,,
importune,"beg persistently; make repeated requests (in an annoying way), implore",,0.0,,
impromptu,without previous preparation; off the cuff(end of a sleeve); on the spur of the moment,,0.0,,
impunity,freedom from punishment or harm; exemption from punishment or loss,,0.0,,
incandescent,strikingly bright; shining with intense heat; emitting visible light when heated,incandescent light bulb,0.0,,
inchoate,"(of desire, wish, plan) recently begun; not explicit; at the beginning of development; rudimentary, elementary (of an offence, such as incitement or conspiracy) anticipating or preparatory to a further criminal act.",Inchoate mass.,0.0,,
incipient,"beginning; in an early stage, only partly in existence; imperfectly formed",,0.0,,
incorrigible,"uncorrectable, impervious to correction by punishment",,0.0,,
indefatigable,"tireless; untiring; showing no sign of getting tired, showing sustained enthusiastic action with unflagging vitality",,0.0,,
indifferent,unmoved or unconcerned by; having no interest in; mediocre; neither good nor bad,,0.0,,
indolent,"lazy, (of tumors e.g) slow to heal or develop and usually painless; disinclined to work or exertion, torpid",,0.0,,
ineluctable,"irresistible; not to be escaped; unavoidable, impossible to avoid or evade, inescapable",,0.0,,
inept,unsuited; inappropriate; lacking skill; incompetent,,0.0,,
inert,inactive; lacking power to move; unable to move or act chemically inactive,Chemically inert.,0.0,,
inexorable,relentless; unyielding; implacable; not capable of being changed by entreaty or efforts;,Totoro and his friends waited out the inexorable rain.,0.0,,
infelicitous,not appropriate in application; defective; marked by or producing unhappiness,,0.0,,
inimical,(of someone) unfriendly; hostile; (of something) harmful; detrimental; enemy,,0.0,,
innocuous,"harmless, not injurious to physical or mental health; not causing disapproval",,0.0,,
insipid,lacking in flavor; lacking interest; dull,Insipid food/character.,0.0,,
insouciance,the cheerful feeling you have when nothing is troubling you,,0.0,,
intractable,unruly; difficult to manage,Intractable problem/child.,0.0,,
intransigent,"impervious to pleas, persuasion, requests, reason",,0.0,,
inundate,flood; overflow; submerge; cover completely,Inundated with work.,0.0,,
inured,"accustomed; hardened; unfeeling, made tough by habitual exposure",Inured to the Alaskan cold.,0.0,,
inveigle,"deceive; lead astray by deception; wheedle(cajole); interest dishonestly, influence or urge by gentle urging, caressing, or flattering",Inveigle her into joining the club.,0.0,,
invidious,designed to create ill will or envy; tending to rouse ill will or envy; containing or implying a slight or showing prejudice,Invidious comparison.,0.0,,
irascible,irritable; easily angered,,0.0,,
itinerant,wandering; traveling from place to place (to perform work),Itinerant preacher.,0.0,,
jejune,lacking interest or significance; displaying or suggesting a lack of maturity,,0.0,,
judicious,sound on judgment; wise,,1.0,,
lachrymose,"producing tears; tearful, showing sorrow",,0.0,,
lament,grieve; express sorrow; a cry of sorrow and grief; a mournful poem,A lament for the dead.,0.0,,
largess,"generous gift (given to people who do not have enough), usually given ostentatiously; extremely liberal and generous of spirit",,0.0,,
lascivious,"lustful, driven by lust; preoccupied with or exhibiting lustful desires",,0.0,,
lassitude,"languor; weariness; listlessness, weakness characterized by a lack of vitality or energy; a feeling of lack of interest or energy",,0.0,,
laud,praise; praiseworthy; expressing praise,,0.0,,
levee,earthen or stone embankment to prevent flooding;,,0.0,,
levity,"lack of seriousness or steadiness; frivolity; lightness of manner, a manner lacking seriousness; feeling an inappropriate lack of seriousness",,0.0,,
licentious,"amoral; lewd and lascivious; unrestrained, lacking moral discipline; especially sexually unrestrained",,0.0,,
ligneous,like wood consisting of or containing lignin or xylem,,0.0,,
limn,make a portrait of; trace the shape of,"Her reviews tended to limn the worst aspects of the performance, ignoring the best.",0.0,,
loquacious,talkative; full of trivial conversation,,0.0,,
lubricous,characterized by lust; having a smooth or slippery quality,,0.0,,
lucid,easily understood; clear; intelligible;,,0.0,,
lugubrious,mournful; sorrowful,,0.0,,
magnanimity,generosity; liberality in bestowing gifts; extremely liberal and generous of spirit,,0.0,,
malevolent,wishing evil; exhibiting ill will,,0.0,,
malleable,(of a metal) capable of being shaped by pounding(beating); pliable; (of someone) impressionable(easily influenced); easily controlled; tractable,,0.0,,
manifest,"evident; visible; obvious; show plainly, clearly revealed to the mind or the senses or judgment, a customs document listing the contents put on a ship or plane.",,0.0,,
maudlin,"effusively sentimental, effusively or insincerely emotional",,0.0,,
maxim,"proverb; truth pithily stated, a saying that is widely accepted on its own merits",,0.0,,
mellifluous,(of words or a voice) sweetly or smoothly flowing; melodious; having a pleasant tune,,0.0,,
mendacity,the tendency to be untruthful,,0.0,,
mendicant,beggar; living as a beggar,,0.0,,
mercurial,"capricious; quick and changing; fickle relating to or containing or caused by mercury relating to or having characteristics (eloquence, shrewdness, swiftness, thievishness) attributed to the god Mercury",Mercurial temper.,0.0,,
meticulous,excessively careful (with great attention to detail); painstaking; scrupulous,,0.0,,
minatory,"menacing; threatening, threatening or foreshadowing evil or tragic developments",,0.0,,
mitigate,"appease; moderate; make or become less in force or intensity, make less severe or harsh; lessen or to try to lessen the seriousness or extent of",,0.0,,
mollify,"soothe an angry person, make less rigid or softer; make more temperate, acceptable, or suitable by adding something else; moderate",,0.0,,
morose,ill-humored; sullen; sullenly melancholy,,0.0,,
motility,"ability to move spontaneously; moving spontaneously, a change of position that does not entail a change of location, sporadic",,0.0,,
mundane,worldly as opposed to spiritual; everyday; of the ordinary; belonging to this earth or world; not ideal or heavenly; concerned with the world or worldly matters,Mundane existence.,0.0,,
nadir,lowest point; point on the celestial sphere diametrically opposite the zenith,,0.0,,
nascent,incipient; coming into being or existence; being born or beginning,Nascent ability in music.,0.0,,
nebulous,vague; hazy; cloudy; of a nebula,Nebulous proposal.,0.0,,
neophyte,recent convert; new member of a religious group; beginner; a plant that is found in an area where it had not been recorded previously; a new convert being taught the principles of Christianity by a catechist,,0.0,,
nominal,in name only; of a name; trifling; (of a sum of money) very small; nominate: propose as a candidate; appoint,,0.0,,
nonplus,put at a loss; bring to a halt by confusion; perplex; no more; be a mystery or bewildering to.,,0.0,,
novel,something new; newness,,0.0,,
noxious,harmful; obnoxious,,0.0,,
nugatory,worthless; futile,,0.0,,
obdurate,stubborn; refusing to change one's belief,,0.0,,
obfuscate,confuse; muddle; cause confusion; make needlessly complex; make so confused as to be difficult to understand,,0.0,,
oblique,indirect; slanting (deviating from the perpendicular or from a straight line),oblique reference,0.0,,
obsequious,slavishly attentive; servile; full of servile compliance; sycophantic,,0.0,,
obstinate,stubborn; hard to control or treat,Obstinate cough.,0.0,,
obstreperous,boisterous; noisy and uncontrollable,,0.0,,
obtuse,blunt; not sharp; stupid; slow in understanding; lacking in insight or discernment; of an angle; between 90 and 180 degrees,,0.0,,
obviate,make unnecessary; get rid of; do away with; prevent the occurrence of; prevent from happening,obviate the need,0.0,,
occlude,shut; close; obstruct; block passage through,A blood clot occluded an artery.,0.0,,
onerous,burdensome; not easily borne; wearing,,0.0,,
opaque,dark; not transparent; not clear; not transmitting or reflecting light or radiant energy; not clearly understood or expressed,,0.0,,
opprobrium,"infamy; disgrace arising from shameful conduct; vilification(slander); scorn; contempt, ignominy",Opprobrium hurled against him.,0.0,,
oscillation,"A steady, uninterrupted, backward and forward swinging about a central point.",,0.0,,
ossify,change or harden into bone; become hard and unchanging in one's ideas; become bony; cause to become hard and bony,,0.0,,
otiose,serving no useful purpose; having no excuse for being; disinclined to work or exertion,,0.0,,
paean,song of praise or joy; a hymn of praise (especially one sung in ancient Greece to invoke or thank a deity); a formal expression of praise,Paeans celebrating the victory.,0.0,,
panacea,Cure-all; remedy for all diseases; hypothetical remedy for all ills or diseases; once sought by the alchemists. (Greek mythology) the goddess of healing; daughter of Aesculapius and sister of Hygeia.,,0.0,,
panegyric,formal praise; encomium,I don't deserve such panegyrics.,0.0,,
parry,ward off a blow; deflect; (fencing) blocking a lunge or deflecting it with a circular motion of the sword; a return punch (especially by a boxer),He parried the unwelcome question very skillfully,0.0,,
parsimonious,excessively unwilling to spend,,0.0,,
partisan,one-sided; prejudiced; committed to a party (with dislike of any others); strong supporter of a party; guerrilla,,0.0,,
patina,green crust on old bronze works or copper; tone slowly taken by varnished painting; a fine coating of oxide on the surface of a metal,,0.0,,
paucity,scarcity; dearth,,0.0,,
pedagogy,teaching; art of education; the activities of educating or instructing; activities that impart knowledge or skill; the profession of a teacher,,0.0,,
pedantic,bookish; showing off learning; marked by an excessive ostentatious concern for book learning; marked by a narrow focus on or display of learning especially its trivial aspects,,0.0,,
pedestrian,ordinary; dull; unimaginative(lacking in imagination); going on foot,Pedestrian prose.,0.0,,
pellucid,transparent; limpid(crystal clear); clear in meaning; easy to understand; (of language) transparently clear; easily understandable; transmitting light; able to be seen through with clarity,,0.0,,
penurious,excessively unwilling to spend; not having enough money to pay for necessities,,0.0,,
penury,extreme poverty; stinginess; very poor; stingy,,0.0,,
perennial,something long-lasting; lasting through the year or many years; lasting for a long time; enduring a plant that lives more than two years (often used to differentiate a plant from shorter-lived annuals and biennials),Perennial plant.,0.0,,
perfidy,betrayal of a trust; an act of deliberate betrayal,,0.0,,
perfunctory,"done routinely and with little care; superficial; not thorough; lacking interest, care, or enthusiasm",Perfunctory kiss.,0.0,,
peripatetic,walking about from place to place (to work); moving; traveling especially on foot; of or relating to Aristotle or his philosophy,Peripatetic school of philosophy.,0.0,,
pernicious,very harmful; deadly; very destructive; working or spreading in a hidden and usually injurious way; exceedingly harmful.,Pernicious effect/anemia.,0.0,,
perorate,deliver an oration in grandiloquent style; conclude a speech with a formal recapitulation,,0.0,,
perspicacious,(of someone) having insight; penetrating; astute; acutely insightful and wise; mentally acute or penetratingly discerning,,0.0,,
perturb,disturb greatly; throw into great confusion or disorder; disturb in mind or make uneasy or cause to be worried or alarmed,,0.0,,
pervade,spread or diffuse through,,0.0,,
pervasive,"spread throughout; (of smells, ideas, feelings) spread throughout; charge; permeate",,0.0,,
pine,long for; yearn; languish from longing or grief; decline a coniferous tree; straight-grained durable and often resinous white to yellowish timber of any of numerous trees of the genus Pinus,,0.0,,
pious,devout; religious,,0.0,,
piquant,pleasantly tart-tasting; spicy; pleasantly stimulating; engagingly stimulating or provocative; having an agreeably pungent taste,Piquant situation when my old enemy asked for my help.,0.0,,
pith,core or marrow; spongelike substance in the center of stems; essence; substance,Pithy.,0.0,,
placate,pacify; bring peace to; conciliate; appease,,0.0,,
placid,peaceful; calm; (of a body of water) free from disturbance by heavy waves; living without undue worry; taking life easy,placid child/lake,0.0,,
plaintive,expressing sorrow; mournful,Plaintive song.,0.0,,
plangent,"loud and resounding, with a mournful tone, (of sound) having marked deepness and body",The plangent sound of a harpsichord.,0.0,,
platitude,trite remark; commonplace statement; a trite or obvious remark,,0.0,,
plethora,excess; overabundance,A plethora of excuses.,0.0,,
pluck,courage or heart pull off or out; pull out the hair or feathers of;,,0.0,,
plumb,exactly vertical; weight on the end of a line; examine very carefully or critically in order to understand; measure depth (by sounding),Plumb the depth of.,0.0,,
plummet,fall sharply; fall straight down; the metal bob of a plumb line,Stock prices plummeted.,0.0,,
polemical,aggressive in verbal attack; disputatious (rather than simply expressing opinions),,0.0,,
portent,a sign of something about to happen,,0.0,,
pragmatic,practical (as opposed to idealistic); concerned with practical worth or impact of something,pragmatic test of the skill,0.0,,
prattle,talk idly; babble; idle or foolish and irrelevant talk; speak (about unimportant matters) rapidly and incessantly,,0.0,,
precipitate,hurl downward; throw headlong; hasten; cause to happen sooner; condense and fall as rain or snow; cause (a solid substance) to be separated from a solution; hasty; rash; premature; sudden; done with very great haste and without due deliberation,,0.0,,
precipitous,steep; overhasty; precipitate; characterized by precipices.,,0.0,,
precursor,forerunner; predecessor; a person who goes before or announces the coming of another; a substance from which another substance is formed (especially by a metabolic reaction),,0.0,,
predilection,preference; partiality; a predisposition in favor of something; a strong liking,,0.0,,
preen,"make oneself tidy in appearance; of a bird) smooth or clean (feathers) with the beak; prune, dress or groom with elaborate care feel self-satisfaction or pride; (pride or congratulate (oneself) for an achievement",Preen oneself on.,0.0,,
presage,foretell; be a warning or sign of; presentiment; foreboding; omen; a foreboding about what is about to happen; a sign of something about to happen,,0.0,,
prescience,ability to foretell the future; knowledge of actions before they occur,,0.0,,
presumptuous,going beyond what is right; excessively forward; arrogant; taking liberties,,0.0,,
prevaricate,lie; hide the truth (by equivocating); be deliberately ambiguous or unclear in order to mislead or withold information,,0.0,,
pristine,unspoiled; remaining in a pure state; characteristic of earlier times; primitive,an old book in pristine condition,0.0,,
privation,lack of the basic necessities or comforts of life; hardship; want; deprive,,0.0,,
probity,"uprightness; honesty; incorruptibility, complete and confirmed integrity; having strong moral principles",,0.0,,
proclivity,inclination; natural tendency (esp. towards something bad),,0.0,,
prodigal,wasteful; reckless with money; profuse; marked by rash extravagance; very generous,A mind prodigal of ideas.,0.0,,
profligate,wasteful (of money); dissipated; wildly immoral; dissolute;,Profligate person.,0.0,,
profuse,produced or growing in extreme abundance,,0.0,,
proliferate,grow rapidly(in numbers); spread; multiply,,0.0,,
prolix,"tedious wordiness; verbosity; tediously prolonged or tending to speak or write at great length, wordy; verbose; diffuse",,0.0,,
propensity,"natural inclination, a disposition to behave in a certain way",,0.0,,
propinquity,"nearness (in space or relationship); proximity; kinship, the property of being close together",,0.0,,
propitiate,appease; conciliate; make peaceful; make peace with,,0.0,,
prosaic,"lacking in imagination; dull and unimaginative; matter-of-fact(concerned with facts, not imagination or feelings); factual; not challenging; dull and lacking excitement",,0.0,,
prurient,having or causing lustful desires and thoughts; arousing immoderate sexual desire,,0.0,,
puerile,"childish; immature; puer: boy, of or characteristic of a child; displaying or suggesting a lack of maturity",,0.0,,
puissant,powerful; strong; potent,,0.0,,
pulchritude,beauty; comeliness; physical beauty (especially of a woman),,0.0,,
pungent,stinging; acrid; sharp in taste or smell; (of speech or writing) caustic,The pungent taste of radishes.,0.0,,
pusillanimous,cowardly; lacking courage; fainthearted,,0.0,,
putative,supposed; reputed; generally regarded as such; commonly put forth or accepted as true on inconclusive grounds,Putative father of the child.,0.0,,
putrefy,make or become putrid; become putrid; decay with an offensive smell,,0.0,,
quay,dock; wharf; pier; landing place (for boats),,0.0,,
querulous,given to complaining; complaining; fretful; whining,,0.0,,
queue,"line (of waiting people or vehicles), a braid of hair at the back of the head; (information processing) an ordered list of tasks to be performed or messages to be transmitted",,0.0,,
quiescence,quiet and inactive restfulness; a state of quiet (but possibly temporary) inaction,,0.0,,
quintessential,representing the perfect example of a class or quality,quintessential Europe,0.0,,
quixotic,idealistic but impractical; not sensible about practical matters; unrealistic,,0.0,,
quotidian,daily; commonplace; customary; found in the ordinary course of events,Quotidian routine.,0.0,,
rampart,defensive mound of earth,,0.0,,
rancorous,showing deep-seated resentment,,0.0,,
rarefy,weaken the consistency of (a chemical substance); make more subtle or refined,,0.0,,
recalcitrant,disobedient or resisting authority even after being punished; obstinately stubborn; determined to resist authority; unruly,recalcitrant child,0.0,,
recant,disclaim or disavow; retract a previous statement; openly confess error,Recant one's faith/a statement.,0.0,,
recondite,abstruse; not easily understood; profound; secret,,0.0,,
redolent,odorous; fragrant; suggestive (of an odor); (used with `of' or `with') noticeably odorous; having a strong pleasant odor,Redolent of onions/mystery.,0.0,,
redoubtable,formidable; causing fear,,0.0,,
refulgent,effulgent; brilliant; brightly shining; gleaming; radiating or as if radiating light,Refulgent moon.,0.0,,
refute,disprove; prove to be false,,0.0,,
relegate,put into a lower or worse place; banish to an inferior position; delegate; assign; assign to a class or kind; refer to another person for decision or judgment,Relegated to the second division.,0.0,,
remonstrate,protest; objection,,0.0,,
remuneration,the act of paying for goods or services or to recompense for losses,,0.0,,
renege,break a promise; deny; go back on,Renege on the contract/paying off the debt.,0.0,,
replete,fully filled; filled to the brim or to the point of being stuffed; abundantly supplied; (followed by `with') deeply filled or permeated; filled to satisfaction with food or drink,Report replete with errors.,0.0,,
reprobate,"morally disapproved person; person hardened in sin, devoid of a sense of decency; marked by immorality; deviating from what is considered right or proper or good, a person without moral scruples",,0.0,,
reprove,"censure; rebuke; take to task, reproof",,0.0,,
repudiate,disown; disavow; deny,,0.0,,
respite,time for rest; interval of relief; delay in punishment; reprieve,,0.0,,
reverent,respectful; worshipful; feeling or showing profound respect or veneration; showing great reverence for god,,0.0,,
rhetoric,art of effective communication; art of using language effectively and persuasively; style of speaking or writing; grandiloquent language; question to which no answer is expected as ``Who knows it ?'',,0.0,,
ribald,marked by vulgar lewd humor; wanton; profane; humorously vulgar,A ribald person.,0.0,,
sagacity,the mental ability to understand and discriminate between relations; the trait of forming opinions by distinguishing and evaluating,sagacious seven little words,0.0,,
salubrious,healthful; conducive to health or well-being; socially desirable; favorable to health of mind or body; promoting health; healthful,Salubrious area.,0.0,,
salutary,tending to improve; beneficial; wholesome; tending to promote physical well-being; beneficial to health,The punishment had a salutary effect on the boy.,0.0,,
sanguine,optimistic; cheerful; hopeful; of the color of blood; red,,0.0,,
saturnine,morose; gloomy; bitter or scornful; showing a brooding ill humor,Do not be misled by his saturnine countenance.,0.0,,
sedulous,diligent; assiduous; paying attention; marked by care and persistent effort,,0.0,,
sententious,pithy; terse; concise; aphoristic,,0.0,,
shard,"fragment generally of broken pottery (glass, clay bowl, or cup)",,0.0,,
sidereal,relating to stars; (of divisions of time) determined by daily motion of the stars; of or relating to the stars or constellations,sidereal day,0.0,,
sinecure,"well-paid position with little responsibility; San Serif, an office that involves minimal duties; a benefice to which no spiritual or pastoral duties are attached",sine cure: without care,0.0,,
solicitous,anxious; worried; concerned; eager; showing hovering attentiveness; full of anxiety and concern,Solicitous to do something.,0.0,,
solvent,"able to pay all depths; capable of meeting financial obligations, a liquid substance capable of dissolving other substances",,0.0,,
soporific,sleep-causing; marked by sleepiness; drowsy a drug or other substance that induces drowsiness or sleep.,,0.0,,
sordid,filthy; foul; base; vile; meanly avaricious and mercenary; foul and run-down and repulsive,Sordid bed/story.,0.0,,
sparse,not thick; thinly scattered; scanty,,0.0,,
specious,seemingly reasonable but incorrect; misleading (often intentionally),,0.0,,
spendthrift,someone who wastes money; someone who spends money prodigally,,0.0,,
sporadic,"occurring irregularly; intermittent, recurring in scattered and irregular or unpredictable instances",,0.0,,
spurious,false; counterfeit; forged; illogical; intended to deceive; born out of wedlock,spurious arguments,0.0,,
squalid,foul and run-down and repulsive; morally degraded,,0.0,,
